id,name,category,alcoholType,glass,instructions,imageUrl,ingredients/0/name,ingredients/0/measure,ingredients/1/name,ingredients/1/measure,ingredients/2/name,ingredients/2/measure,ingredients/3/name,ingredients/3/measure,ingredients/4/name,ingredients/4/measure,ingredients/5/name,ingredients/5/measure,ingredients/6/name,ingredients/6/measure,ingredients/7/name,ingredients/7/measure,ingredients/8/name,ingredients/8/measure,ingredients/9/name,ingredients/9/measure,ingredients/10/name,ingredients/10/measure,ingredients/11/name,ingredients/11/measure
14588,151 Florida Bushwacker,Milk / Float / Shake,ALCOHOLIC,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Malibu rum,1.5 cl,Light rum,1.5 cl,151 proof rum,1.5 cl Bacardi,Dark Creme de Cacao,3 cl,Cointreau,3 cl,Milk,9 cl,Coconut liqueur,3 cl,Vanilla ice-cream,1 cup,,,,,,,,
15346,155 Belmont,Cocktail,ALCOHOLIC,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,Dark rum,1 shot,Light rum,2 shots,Vodka,1 shot,Orange juice,1 shot,,,,,,,,,,,,,,,,
15300,3-Mile Long Island Iced Tea,Ordinary Drink,ALCOHOLIC,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Gin,1.5 cl,Light rum,1.5 cl,Tequila,1.5 cl,Triple sec,1.5 cl,Vodka,1.5 cl,Coca-Cola,,Sweet and sour,1-2 dash,Bitters,1 wedge,Lemon,,,,,,,
11000,A Furlong Too Late,Ordinary Drink,ALCOHOLIC,Highball glass,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Light rum,6 cl,Ginger beer,12 cl,Lemon peel,1 twist of,,,,,,,,,,,,,,,,,,
11001,A Night In Old Mandalay,Ordinary Drink,ALCOHOLIC,Highball glass,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Light rum,3 cl,Añejo rum,3 cl,Orange juice,3 cl,Lemon juice,1.5 cl,Ginger ale,9 cl,Lemon peel,1 twist of,,,,,,,,,,,,
11005,Acapulco,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Light rum,4.5 cl,Triple sec,1 1/2 tsp,Lime juice,1 tblsp,Sugar,1 tsp,Egg white,1,Mint,1,,,,,,,,,,,,
11050,Apricot Lady,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",https://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Light rum,4.5 cl,Apricot brandy,3 cl,Triple sec,1 tsp,Lemon juice,1.5 cl,Egg white,1,Orange,1,,,,,,,,,,,,
17183,Bacardi Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,Shake together with ice. Strain into glass and serve.,https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg,Light rum,5.3 cl Bacardi,Lime juice,3 cl,Sugar syrup,1/2 tsp,Grenadine,1 dash,,,,,,,,,,,,,,,,
11064,Banana Daiquiri,Ordinary Drink,ALCOHOLIC,Champagne flute,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg,Light rum,4.5 cl,Triple sec,1 tblsp,Banana,1,Lime juice,4.5 cl,Sugar,1 tsp,Cherry,1,,,,,,,,,,,,
17184,Between The Sheets,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg,Brandy,3 cl,Light rum,3 cl,Triple sec,3 cl,Lemon juice,3 cl,,,,,,,,,,,,,,,,
11128,Boston Sidecar,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Light rum,2.3 cl,Brandy,2.3 cl,Triple sec,2.3 cl,Lime,Juice of 1/2,,,,,,,,,,,,,,,,
17065,Caribbean Boilermaker,Beer,ALCOHOLIC,Beer pilsner,Pour the Corona into an 18oz beer glass pour the rum into the beer.,https://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Corona,1 bottle,Light rum,1 shot,,,,,,,,,,,,,,,,,,,,
11222,Casa Blanca,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg,Light rum,6 cl,Triple sec,1 1/2 tsp,Lime juice,1 1/2 tsp,Maraschino liqueur,1 1/2 tsp,,,,,,,,,,,,,,,,
11239,Cherry Rum,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Light rum,3.8 cl,Cherry brandy,1 1/2 tsp,Light cream,1 tblsp,,,,,,,,,,,,,,,,,,
11242,Chicago Fizz,Ordinary Drink,ALCOHOLIC,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Light rum,3 cl,Port,3 cl,Lemon,Juice of 1/2,Powdered sugar,1 tsp,Egg white,1,Carbonated water,,,,,,,,,,,,,
12802,Cranberry Cordial,Homemade Liqueur,ALCOHOLIC,Collins Glass,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks.",https://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg,Cranberries,1/2 kg chopped,Sugar,3/4 L,Light rum,1/2 L,,,,,,,,,,,,,,,,,,
11288,Cuba Libre,Ordinary Drink,ALCOHOLIC,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Light rum,6 cl,Lime,Juice of 1/2,Coca-Cola,,,,,,,,,,,,,,,,,,,
11291,Daiquiri,Ordinary Drink,ALCOHOLIC,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg,Light rum,4.5 cl,Lime,Juice of 1/2,Powdered sugar,1 tsp,,,,,,,,,,,,,,,,,,
11387,Frozen Daiquiri,Ordinary Drink,ALCOHOLIC,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,Light rum,4.5 cl,Triple sec,1 tblsp,Lime juice,4.5 cl,Sugar,1 tsp,Cherry,1,Ice,1 cup crushed,,,,,,,,,,,,
11390,Frozen Mint Daiquiri,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,Light rum,6 cl,Lime juice,1 tblsp,Mint,6,Sugar,1 tsp,,,,,,,,,,,,,,,,
11391,Frozen Pineapple Daiquiri,Ordinary Drink,ALCOHOLIC,Champagne flute,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.,https://www.thecocktaildb.com/images/media/drink/j2mqsb1504736097.jpg,Light rum,4.5 cl,Pineapple,4 chunks,Lime juice,1 tblsp,Sugar,1/2 tsp,,,,,,,,,,,,,,,,
11470,Havana Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Light rum,3 cl,Pineapple juice,3 cl,Lemon juice,1 tsp,,,,,,,,,,,,,,,,,,
11524,Imperial Fizz,Ordinary Drink,ALCOHOLIC,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Light rum,1.5 cl,Blended whiskey,4.5 cl,Lemon,Juice of 1/2,Powdered sugar,1 tsp,Carbonated water,,,,,,,,,,,,,,,
14095,Jamaica Kiss,Milk / Float / Shake,ALCOHOLIC,Hurricane glass,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,https://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Coffee liqueur,1 shot,Light rum,1 shot Jamaican,Ice,cubes,Milk,,,,,,,,,,,,,,,,,
17204,Long Island Iced Tea,Ordinary Drink,ALCOHOLIC,Highball glass,Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.,https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Vodka,1.5 cl,Tequila,1.5 cl,Light rum,1.5 cl,Gin,1.5 cl,Coca-Cola,1 dash,Lemon peel,Twist of,,,,,,,,,,,,
11668,Long Island Tea,Ordinary Drink,ALCOHOLIC,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,https://www.thecocktaildb.com/images/media/drink/ywxwqs1439906072.jpg,Vodka,1.5 cl,Light rum,1.5 cl,Gin,1.5 cl,Tequila,1.5 cl,Lemon,Juice of 1/2,Coca-Cola,1 splash,,,,,,,,,,,,
11690,Mai Tai,Ordinary Drink,ALCOHOLIC,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Light rum,3 cl,Orgeat syrup,1.5 cl,Triple sec,1.5 cl,Sweet and sour,4.5 cl,Cherry,1,,,,,,,,,,,,,,
17188,Mary Pickford,Cocktail,ALCOHOLIC,Cocktail glass,Shake and strain into a chilled large cocktail glass,https://www.thecocktaildb.com/images/media/drink/f9erqb1504350557.jpg,Light rum,4.5 cl,Pineapple juice,3 cl,Maraschino liqueur,1/2 tsp,Grenadine,1/2 tsp,Maraschino cherry,1,,,,,,,,,,,,,,
11786,Mississippi Planters Punch,Ordinary Drink,ALCOHOLIC,Collins glass,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,Brandy,3 cl,Light rum,1.5 cl,Bourbon,1.5 cl,Lemon,Juice of 1/2,Powdered sugar,1 tblsp,Carbonated water,,,,,,,,,,,,,
13427,Mojito,Cocktail,ALCOHOLIC,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg,Light rum,2-3 oz,Lime,Juice of 1,Sugar,2 tsp,Mint,2-4,Soda water,,,,,,,,,,,,,,,
